Time,Value
0.929504, 82.045097
0.929565, 80.707344
0.929626, 78.796219
0.929688, 78.796219
0.929749, 77.782791
0.929810, 78.606789
0.929871, 78.251610
0.929932, 79.432327
0.929993, 78.606789
0.930054, 78.430649
0.930115, 78.606789
0.930176, 77.485695
0.930237, 76.053841
0.930298, 79.381500
0.930359, 79.381500
0.930420, 80.170456
0.930481, 79.753799
0.930542, 79.612495
0.930603, 78.816696
0.930664, 76.871666
0.930725, 82.987801
0.930786, 77.699890
0.930847, 81.401054
0.930908, 81.401054
0.930969, 82.545212
0.931030, 82.199089
0.931091, 81.322838
0.931152, 80.829491
0.931213, 81.350716
0.931274, 80.179436
0.931335, 81.729881
0.931396, 82.128326
0.931458, 81.350716
0.931519, 78.941856
0.931580, 78.856346
0.931641, 78.941856
0.931702, 78.941856
0.931763, 78.941856
0.931824, 78.971237
0.931885, 79.860809
0.931946, 79.233025
0.932007, 80.204430
0.932068, 80.848663
0.932129, 78.649727
0.932190, 79.233025
0.932251, 83.342834
0.932312, 79.239151
0.932373, 82.778931
0.932434, 82.548615
0.932495, 82.582916
0.932556, 84.446724
0.932617, 82.039902
0.932678, 83.593513
0.932739, 82.061050
0.932800, 80.786186
0.932861, 83.501259
0.932922, 81.000687
0.932983, 82.061050
0.933044, 81.387978
0.933105, 79.528687
0.933167, 81.135086
0.933228, 81.387978
0.933289, 81.387978
0.933350, 79.785057
0.933411, 81.387978
0.933472, 79.487083
0.933533, 79.893143
0.933594, 81.936539
0.933655, 85.107483
0.933716, 79.030670
0.933777, 84.506531
0.933838, 85.252899
0.933899, 82.280968
0.933960, 86.406647
0.934021, 83.503647
0.934082, 85.204994
0.934143, 82.608276
0.934204, 85.951637
0.934265, 83.608994
0.934326, 85.368713
